,nct_id,canonical_unique_conditions,canonical_aact_conditions,canonical_bert-base-uncased_conditions,canonical_BioLinkBERT-base_conditions,canonical_biobert-v1.1_conditions,canonical_gpt_conditions,canonical_gpt-4_conditions,eval_exact_match_bert-base-uncased,eval_exact_match_bert-base-uncased_tp_fp_fn,eval_exact_match_BioLinkBERT-base,eval_exact_match_BioLinkBERT-base_tp_fp_fn,eval_exact_match_biobert-v1.1,eval_exact_match_biobert-v1.1_tp_fp_fn,eval_exact_match_gpt,eval_exact_match_gpt_tp_fp_fn,eval_exact_match_gpt-4,eval_exact_match_gpt-4_tp_fp_fn,eval_exact_match_aact,eval_exact_match_aact_tp_fp_fn,eval_majority_bert-base-uncased,eval_majority_bert-base-uncased_tp_fp_fn,eval_majority_BioLinkBERT-base,eval_majority_BioLinkBERT-base_tp_fp_fn,eval_majority_biobert-v1.1,eval_majority_biobert-v1.1_tp_fp_fn,eval_majority_gpt,eval_majority_gpt_tp_fp_fn,eval_majority_gpt-4,eval_majority_gpt-4_tp_fp_fn,eval_majority_aact,eval_majority_aact_tp_fp_fn
41,NCT02899858,spinal cord injured|paralyzed,paralysis|spinal cord injuries,spinal cord injured,spinal cord injured|paralyzed,spinal cord injured,spinal cord injured,spinal cord injuries|paralysis|inability to stand or walk,"{'p': 1.0, 'r': 0.5, 'f1': 0.67}","{'tp': 1, 'fp': 0, 'fn': 1}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 2, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 0.5, 'f1': 0.67}","{'tp': 1, 'fp': 0, 'fn': 1}","{'p': 1.0, 'r': 0.5, 'f1': 0.67}","{'tp': 1, 'fp': 0, 'fn': 1}","{'p': 0.0, 'r': 0.0, 'f1': 0}","{'tp': 0, 'fp': 3, 'fn': 2}","{'p': 0.0, 'r': 0.0, 'f1': 0}","{'tp': 0, 'fp': 2, 'fn': 2}","{'p': 1.0, 'r': 0.5, 'f1': 0.67}","{'tp': 1, 'fp': 0, 'fn': 1}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 2, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 0.5, 'f1': 0.67}","{'tp': 1, 'fp': 0, 'fn': 1}","{'p': 1.0, 'r': 0.5, 'f1': 0.67}","{'tp': 1, 'fp': 0, 'fn': 1}","{'p': 0.33, 'r': 0.5, 'f1': 0.4}","{'tp': 1, 'fp': 2, 'fn': 1}","{'p': 0.5, 'r': 0.5, 'f1': 0.5}","{'tp': 1, 'fp': 1, 'fn': 1}"
42,NCT04709029,post-dural puncture headache|lower abdominal and lower limb surgeries,post-dural puncture headache,limb surge|bupivac|spinal anethesia|lower abdominal|post-dural puncture headache,post-dural puncture headache|abdominal and lower limb surgeries,post-dural puncture headache|aneth|lower abdominal and lower|surge,post-dural puncture headache,post-dural puncture headache,"{'p': 0.2, 'r': 0.5, 'f1': 0.29}","{'tp': 1, 'fp': 4, 'fn': 1}","{'p': 0.5, 'r': 0.5, 'f1': 0.5}","{'tp': 1, 'fp': 1, 'fn': 1}","{'p': 0.25, 'r': 0.5, 'f1': 0.33}","{'tp': 1, 'fp': 3, 'fn': 1}","{'p': 1.0, 'r': 0.5, 'f1': 0.67}","{'tp': 1, 'fp': 0, 'fn': 1}","{'p': 1.0, 'r': 0.5, 'f1': 0.67}","{'tp': 1, 'fp': 0, 'fn': 1}","{'p': 1.0, 'r': 0.5, 'f1': 0.67}","{'tp': 1, 'fp': 0, 'fn': 1}","{'p': 0.2, 'r': 0.5, 'f1': 0.29}","{'tp': 1, 'fp': 4, 'fn': 1}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 2, 'fp': 0, 'fn': 0}","{'p': 0.25, 'r': 0.5, 'f1': 0.33}","{'tp': 1, 'fp': 3, 'fn': 1}","{'p': 1.0, 'r': 0.5, 'f1': 0.67}","{'tp': 1, 'fp': 0, 'fn': 1}","{'p': 1.0, 'r': 0.5, 'f1': 0.67}","{'tp': 1, 'fp': 0, 'fn': 1}","{'p': 1.0, 'r': 0.5, 'f1': 0.67}","{'tp': 1, 'fp': 0, 'fn': 1}"
43,NCT00537940,partial seizures,"epilepsy, complex partial|epilepsies, partial|epilepsy|epilepsies, partial",partial seizures,partial seizures,partial seizures,partial seizures,partial seizures,"{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 1, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 1, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 1, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 1, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 1, 'fp': 0, 'fn': 0}","{'p': 0.0, 'r': 0.0, 'f1': 0}","{'tp': 0, 'fp': 3, 'fn': 1}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 1, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 1, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 1, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 1, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 1, 'fp': 0, 'fn': 0}","{'p': 0.0, 'r': 0.0, 'f1': 0}","{'tp': 0, 'fp': 3, 'fn': 1}"
44,NCT02892097,stroke|unilateral spatial neglect,hemispatial neglect|stroke,unila|post stroke|stroke|spatial neglect,unilateral spatial neglect following stroke|unilateral spatial neglect post stroke,stroke|unilateral spatial neglect|unilateral spatial neglect post stroke,unilateral spatial neglect|stroke|excitability in the brain|attention to the affected side|arm movement ability,unilateral spatial neglect post stroke|excitability in the brain|attention to the affected side|arm movement ability,"{'p': 0.25, 'r': 0.5, 'f1': 0.33}","{'tp': 1, 'fp': 3, 'fn': 1}","{'p': 0.0, 'r': 0.0, 'f1': 0}","{'tp': 0, 'fp': 2, 'fn': 2}","{'p': 0.67, 'r': 1.0, 'f1': 0.8}","{'tp': 2, 'fp': 1, 'fn': 0}","{'p': 0.4, 'r': 1.0, 'f1': 0.57}","{'tp': 2, 'fp': 3, 'fn': 0}","{'p': 0.0, 'r': 0.0, 'f1': 0}","{'tp': 0, 'fp': 4, 'fn': 2}","{'p': 0.5, 'r': 0.5, 'f1': 0.5}","{'tp': 1, 'fp': 1, 'fn': 1}","{'p': 0.67, 'r': 1.0, 'f1': 0.8}","{'tp': 2, 'fp': 1, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 2, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 2, 'fp': 0, 'fn': 0}","{'p': 0.4, 'r': 1.0, 'f1': 0.57}","{'tp': 2, 'fp': 3, 'fn': 0}","{'p': 0.4, 'r': 1.0, 'f1': 0.57}","{'tp': 2, 'fp': 3, 'fn': 0}","{'p': 0.5, 'r': 0.5, 'f1': 0.5}","{'tp': 1, 'fp': 1, 'fn': 1}"
45,NCT05539287,drug resistant epilepsy|epilepsy|epileptic|dysbiosis|dre,drug resistant epilepsy,drug resistant epilepsy|dre|lac|gaba|lactobacillus,drug resistant epilepsy|epilepsy|epileptic|dysbiosis|dre|refractory form,drug resistant epilepsy|epilepsy|epileptic|dre|refractory form,epilepsy|dysbiosis|refractory form|probiotics|gaba|bifidobacteria,drug resistant epilepsy|dysbiosis|epileptic symptoms,"{'p': 0.4, 'r': 0.4, 'f1': 0.4}","{'tp': 2, 'fp': 3, 'fn': 3}","{'p': 0.83, 'r': 1.0, 'f1': 0.91}","{'tp': 5, 'fp': 1, 'fn': 0}","{'p': 0.8, 'r': 0.8, 'f1': 0.8}","{'tp': 4, 'fp': 1, 'fn': 1}","{'p': 0.33, 'r': 0.4, 'f1': 0.36}","{'tp': 2, 'fp': 4, 'fn': 3}","{'p': 0.67, 'r': 0.4, 'f1': 0.5}","{'tp': 2, 'fp': 1, 'fn': 3}","{'p': 1.0, 'r': 0.2, 'f1': 0.33}","{'tp': 1, 'fp': 0, 'fn': 4}","{'p': 0.5, 'r': 0.6, 'f1': 0.55}","{'tp': 3, 'fp': 3, 'fn': 2}","{'p': 0.83, 'r': 1.0, 'f1': 0.91}","{'tp': 5, 'fp': 1, 'fn': 0}","{'p': 0.8, 'r': 0.8, 'f1': 0.8}","{'tp': 4, 'fp': 1, 'fn': 1}","{'p': 0.33, 'r': 0.4, 'f1': 0.36}","{'tp': 2, 'fp': 4, 'fn': 3}","{'p': 1.0, 'r': 0.8, 'f1': 0.89}","{'tp': 4, 'fp': 0, 'fn': 1}","{'p': 1.0, 'r': 0.4, 'f1': 0.57}","{'tp': 2, 'fp': 0, 'fn': 3}"
46,NCT01726998,stroke|subacute post-stroke non-ambulatory hemiplegic|first-ever stroke,hemiparetic patients after subacute stroke|stroke,card|subacute post-stroke|congestive heart failure|stroke attack|stroke,hemiplegic|subacute post-stroke|-|stroke|first-ever stroke,subacute post-stroke|congestive heart failure|stroke attack|non-ambulatory hemiplegic|first-ever stroke,post-stroke non-ambulatory hemiplegic patients|congestive heart failure|malignancies|cardiopulmonary dysfunctions|stroke attack|functional ambulation category|lower extremity muscles|independent walking ability,stroke|inability to walk independently|hemiplegia|congestive heart failure|malignancies|cardiopulmonary dysfunctions,"{'p': 0.2, 'r': 0.33, 'f1': 0.25}","{'tp': 1, 'fp': 4, 'fn': 2}","{'p': 0.4, 'r': 0.67, 'f1': 0.5}","{'tp': 2, 'fp': 3, 'fn': 1}","{'p': 0.2, 'r': 0.33, 'f1': 0.25}","{'tp': 1, 'fp': 4, 'fn': 2}","{'p': 0.0, 'r': 0.0, 'f1': 0}","{'tp': 0, 'fp': 8, 'fn': 3}","{'p': 0.17, 'r': 0.33, 'f1': 0.22}","{'tp': 1, 'fp': 5, 'fn': 2}","{'p': 0.5, 'r': 0.33, 'f1': 0.4}","{'tp': 1, 'fp': 1, 'fn': 2}","{'p': 0.25, 'r': 0.33, 'f1': 0.29}","{'tp': 1, 'fp': 3, 'fn': 2}","{'p': 0.4, 'r': 0.67, 'f1': 0.5}","{'tp': 2, 'fp': 3, 'fn': 1}","{'p': 0.4, 'r': 0.67, 'f1': 0.5}","{'tp': 2, 'fp': 3, 'fn': 1}","{'p': 0.25, 'r': 0.67, 'f1': 0.36}","{'tp': 2, 'fp': 6, 'fn': 1}","{'p': 0.17, 'r': 0.33, 'f1': 0.22}","{'tp': 1, 'fp': 5, 'fn': 2}","{'p': 1.0, 'r': 0.33, 'f1': 0.5}","{'tp': 1, 'fp': 0, 'fn': 2}"
47,NCT02583386,multiple sclerosis,multiple sclerosis,multiple sclerosis,multiple sclerosis,multiple sclerosis,multiple sclerosis|falls,multiple sclerosis|frequent falls,"{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 1, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 1, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 1, 'fp': 0, 'fn': 0}","{'p': 0.5, 'r': 1.0, 'f1': 0.67}","{'tp': 1, 'fp': 1, 'fn': 0}","{'p': 0.5, 'r': 1.0, 'f1': 0.67}","{'tp': 1, 'fp': 1, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 1, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 1, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 1, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 1, 'fp': 0, 'fn': 0}","{'p': 0.5, 'r': 1.0, 'f1': 0.67}","{'tp': 1, 'fp': 1, 'fn': 0}","{'p': 0.5, 'r': 1.0, 'f1': 0.67}","{'tp': 1, 'fp': 1, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 1, 'fp': 0, 'fn': 0}"
48,NCT00248222,minor ischemic stroke,stroke|stroke,minor ischemic stroke,minor ischemic stroke,minor ischemic stroke,minor ischemic stroke,minor ischemic stroke,"{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 1, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 1, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 1, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 1, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 1, 'fp': 0, 'fn': 0}","{'p': 0.0, 'r': 0.0, 'f1': 0}","{'tp': 0, 'fp': 1, 'fn': 1}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 1, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 1, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 1, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 1, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 1, 'fp': 0, 'fn': 0}","{'p': 0.0, 'r': 0.0, 'f1': 0}","{'tp': 0, 'fp': 1, 'fn': 1}"
49,NCT01732289,"hearing loss|symmetric, sensorineural hearing loss",age-related hearing loss|presbycusis,"age -|hearing loss|symmetric, sensorineural hearing loss|pre",hearing loss|age-related hearing loss|age related hearing loss|presbycusis|presbyacusis,"hearing loss|age-related hearing loss|age related hearing loss|presbycusis|symmetric, sensorineural hearing loss|presbyacusis","age-related hearing loss|presbyacusis|hearing loss, sensorineural",age related hearing loss|hearing loss,"{'p': 0.5, 'r': 1.0, 'f1': 0.67}","{'tp': 2, 'fp': 2, 'fn': 0}","{'p': 0.2, 'r': 0.5, 'f1': 0.29}","{'tp': 1, 'fp': 4, 'fn': 1}","{'p': 0.33, 'r': 1.0, 'f1': 0.5}","{'tp': 2, 'fp': 4, 'fn': 0}","{'p': 0.0, 'r': 0.0, 'f1': 0}","{'tp': 0, 'fp': 3, 'fn': 2}","{'p': 0.5, 'r': 0.5, 'f1': 0.5}","{'tp': 1, 'fp': 1, 'fn': 1}","{'p': 0.0, 'r': 0.0, 'f1': 0}","{'tp': 0, 'fp': 2, 'fn': 2}","{'p': 0.5, 'r': 1.0, 'f1': 0.67}","{'tp': 2, 'fp': 2, 'fn': 0}","{'p': 0.33, 'r': 0.5, 'f1': 0.4}","{'tp': 1, 'fp': 2, 'fn': 1}","{'p': 0.5, 'r': 1.0, 'f1': 0.67}","{'tp': 2, 'fp': 2, 'fn': 0}","{'p': 0.33, 'r': 0.5, 'f1': 0.4}","{'tp': 1, 'fp': 2, 'fn': 1}","{'p': 1.0, 'r': 0.5, 'f1': 0.67}","{'tp': 1, 'fp': 0, 'fn': 1}","{'p': 0.5, 'r': 0.5, 'f1': 0.5}","{'tp': 1, 'fp': 1, 'fn': 1}"
50,NCT05527587,dementia,alzheimer disease|mild dementia|moderate dementia,dementia,dementia|stress,dementia|stress,dementia|caregivers|quality of life|behaviors|neurobehavioral manifestations|psychological symptoms|physical health|measures of stress,dementia|quality of life|behaviors|neurobehavioral manifestations|psychological symptoms|physical health|stress,"{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 1, 'fp': 0, 'fn': 0}","{'p': 0.5, 'r': 1.0, 'f1': 0.67}","{'tp': 1, 'fp': 1, 'fn': 0}","{'p': 0.5, 'r': 1.0, 'f1': 0.67}","{'tp': 1, 'fp': 1, 'fn': 0}","{'p': 0.12, 'r': 1.0, 'f1': 0.22}","{'tp': 1, 'fp': 7, 'fn': 0}","{'p': 0.14, 'r': 1.0, 'f1': 0.25}","{'tp': 1, 'fp': 6, 'fn': 0}","{'p': 0.0, 'r': 0.0, 'f1': 0}","{'tp': 0, 'fp': 3, 'fn': 1}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 1, 'fp': 0, 'fn': 0}","{'p': 0.5, 'r': 1.0, 'f1': 0.67}","{'tp': 1, 'fp': 1, 'fn': 0}","{'p': 0.5, 'r': 1.0, 'f1': 0.67}","{'tp': 1, 'fp': 1, 'fn': 0}","{'p': 0.12, 'r': 1.0, 'f1': 0.22}","{'tp': 1, 'fp': 7, 'fn': 0}","{'p': 0.14, 'r': 1.0, 'f1': 0.25}","{'tp': 1, 'fp': 6, 'fn': 0}","{'p': 0.5, 'r': 1.0, 'f1': 0.67}","{'tp': 1, 'fp': 1, 'fn': 0}"
51,NCT05622396,parkinson disease,parkinson disease,parkinson disease,parkinson disease,parkinson disease,parkinson disease,parkinson disease,"{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 1, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 1, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 1, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 1, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 1, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 1, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 1, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 1, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 1, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 1, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 1, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 1, 'fp': 0, 'fn': 0}"
52,NCT02462629,tumor|central nervous system neoplasms|cancer|primary central nervous system tumors,central nervous system neoplasms,tumor|central nervous system neoplasms|cancer|primary central nervous system tumors,tumor|central nervous system neoplasms|cancer|primary central nervous system tumors,tumor|central nervous system neoplasms|cancer|primary central nervous system tumors,primary central nervous system tumors,primary central nervous system tumors|difficulty distinguishing tumor tissue from normal tissue|tumor cells spreading from the original tumor site|incomplete removal of the tumor|reduced patient survival|damage to normal tissue around the tumor|adverse effects of surgery on function,"{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 4, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 4, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 4, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 0.25, 'f1': 0.4}","{'tp': 1, 'fp': 0, 'fn': 3}","{'p': 0.14, 'r': 0.25, 'f1': 0.18}","{'tp': 1, 'fp': 6, 'fn': 3}","{'p': 1.0, 'r': 0.25, 'f1': 0.4}","{'tp': 1, 'fp': 0, 'fn': 3}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 4, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 4, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 4, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 0.5, 'f1': 0.67}","{'tp': 2, 'fp': 0, 'fn': 2}","{'p': 0.6, 'r': 0.75, 'f1': 0.67}","{'tp': 3, 'fp': 2, 'fn': 1}","{'p': 1.0, 'r': 0.5, 'f1': 0.67}","{'tp': 2, 'fp': 0, 'fn': 2}"
53,NCT01966172,cardiac surgery,analgesia|postoperative pain,cardiac surgery|pain,cardiac surgery|pain,cardiac surgery|pain,,,"{'p': 0.5, 'r': 1.0, 'f1': 0.67}","{'tp': 1, 'fp': 1, 'fn': 0}","{'p': 0.5, 'r': 1.0, 'f1': 0.67}","{'tp': 1, 'fp': 1, 'fn': 0}","{'p': 0.5, 'r': 1.0, 'f1': 0.67}","{'tp': 1, 'fp': 1, 'fn': 0}","{'p': 0.0, 'r': 0.0, 'f1': 0}","{'tp': 0, 'fp': 1, 'fn': 1}","{'p': 0.0, 'r': 0.0, 'f1': 0}","{'tp': 0, 'fp': 1, 'fn': 1}","{'p': 0.0, 'r': 0.0, 'f1': 0}","{'tp': 0, 'fp': 2, 'fn': 1}","{'p': 0.5, 'r': 1.0, 'f1': 0.67}","{'tp': 1, 'fp': 1, 'fn': 0}","{'p': 0.5, 'r': 1.0, 'f1': 0.67}","{'tp': 1, 'fp': 1, 'fn': 0}","{'p': 0.5, 'r': 1.0, 'f1': 0.67}","{'tp': 1, 'fp': 1, 'fn': 0}","{'p': 0.0, 'r': 0.0, 'f1': 0}","{'tp': 0, 'fp': 1, 'fn': 1}","{'p': 0.0, 'r': 0.0, 'f1': 0}","{'tp': 0, 'fp': 1, 'fn': 1}","{'p': 0.0, 'r': 0.0, 'f1': 0}","{'tp': 0, 'fp': 2, 'fn': 1}"
54,NCT03119246,early to moderate hd|huntington disease,huntington disease,early to moderate hd|replacement therapy|huntington disease,early to moderate hd|huntington disease|huntington disease,early to moderate hd|huntington disease,huntington disease|motor deterioration|cognitive deterioration|behavioural deterioration|impairments in social cognition,huntington disease|relentless deterioration of motor|cognitive and behavioural functions|impairments in social cognition,"{'p': 0.67, 'r': 1.0, 'f1': 0.8}","{'tp': 2, 'fp': 1, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 2, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 2, 'fp': 0, 'fn': 0}","{'p': 0.2, 'r': 0.5, 'f1': 0.29}","{'tp': 1, 'fp': 4, 'fn': 1}","{'p': 0.25, 'r': 0.5, 'f1': 0.33}","{'tp': 1, 'fp': 3, 'fn': 1}","{'p': 1.0, 'r': 0.5, 'f1': 0.67}","{'tp': 1, 'fp': 0, 'fn': 1}","{'p': 0.67, 'r': 1.0, 'f1': 0.8}","{'tp': 2, 'fp': 1, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 2, 'fp': 0, 'fn': 0}","{'p': 1.0, 'r': 1.0, 'f1': 1.0}","{'tp': 2, 'fp': 0, 'fn': 0}","{'p': 0.2, 'r': 0.5, 'f1': 0.29}","{'tp': 1, 'fp': 4, 'fn': 1}","{'p': 0.25, 'r': 0.5, 'f1': 0.33}","{'tp': 1, 'fp': 3, 'fn': 1}","{'p': 1.0, 'r': 0.5, 'f1': 0.67}","{'tp': 1, 'fp': 0, 'fn': 1}"
55,NCT02571335,cognitive decline|multiple sclerosis|impaired functional capacity|reduced physical activity,multiple sclerosis,multiple sclerosis|chronic progressive or relapsing-remitting disease,dementia|multiple sclerosis|chronic progressive or relapsing-remitting disease,dementia|multiple sclerosis|chronic progressive or relapsing-remitting disease,multiple sclerosis|inflammatory manifestations|demyelinization|axonal loss|impaired functional capacity|reduced physical activity|cognitive decline|neuronal regeneration|neuroplasticity|recovery of motor functions|recovery of cognitive functions|cardiorespiratory fitness|maximum voluntary strength|dementia|training modalities|intensive training|intensive training intensities|normal training|cardiorespiratory fitness|cognitive functions|neurotrophin concentrations|exercise prescriptions,multiple sclerosis|impaired functional capacity|reduced physical activity|cognitive decline|inflammatory manifestations|demyelinization|axonal loss,"{'p': 0.5, 'r': 0.25, 'f1': 0.33}","{'tp': 1, 'fp': 1, 'fn': 3}","{'p': 0.33, 'r': 0.25, 'f1': 0.29}","{'tp': 1, 'fp': 2, 'fn': 3}","{'p': 0.33, 'r': 0.25, 'f1': 0.29}","{'tp': 1, 'fp': 2, 'fn': 3}","{'p': 0.19, 'r': 1.0, 'f1': 0.32}","{'tp': 4, 'fp': 17, 'fn': 0}","{'p': 0.57, 'r': 1.0, 'f1': 0.73}","{'tp': 4, 'fp': 3, 'fn': 0}","{'p': 1.0, 'r': 0.25, 'f1': 0.4}","{'tp': 1, 'fp': 0, 'fn': 3}","{'p': 0.5, 'r': 0.25, 'f1': 0.33}","{'tp': 1, 'fp': 1, 'fn': 3}","{'p': 0.33, 'r': 0.25, 'f1': 0.29}","{'tp': 1, 'fp': 2, 'fn': 3}","{'p': 0.33, 'r': 0.25, 'f1': 0.29}","{'tp': 1, 'fp': 2, 'fn': 3}","{'p': 0.19, 'r': 1.0, 'f1': 0.32}","{'tp': 4, 'fp': 17, 'fn': 0}","{'p': 0.57, 'r': 1.0, 'f1': 0.73}","{'tp': 4, 'fp': 3, 'fn': 0}","{'p': 1.0, 'r': 0.25, 'f1': 0.4}","{'tp': 1, 'fp': 0, 'fn': 3}"
56,NCT01090934,epileptogenic|drug resistant partial epilepsies,"epilepsies, partial",epileps|drug,epileps|drug resistant partial epilepsies,epilept|drug resistant partial epilepsies,"epilepsies, partial|drug resistant|epileptogenic zone",epilepsies partielles pharmaco-résistantes|drug resistant partial epilepsies,"{'p': 0.0, 'r': 0.0, 'f1': 0}","{'tp': 0, 'fp': 2, 'fn': 2}","{'p': 0.5, 'r': 0.5, 'f1': 0.5}","{'tp': 1, 'fp': 1, 'fn': 1}","{'p': 0.5, 'r': 0.5, 'f1': 0.5}","{'tp': 1, 'fp': 1, 'fn': 1}","{'p': 0.0, 'r': 0.0, 'f1': 0}","{'tp': 0, 'fp': 3, 'fn': 2}","{'p': 0.5, 'r': 0.5, 'f1': 0.5}","{'tp': 1, 'fp': 1, 'fn': 1}","{'p': 0.0, 'r': 0.0, 'f1': 0}","{'tp': 0, 'fp': 1, 'fn': 2}","{'p': 0.0, 'r': 0.0, 'f1': 0}","{'tp': 0, 'fp': 2, 'fn': 2}","{'p': 0.5, 'r': 0.5, 'f1': 0.5}","{'tp': 1, 'fp': 1, 'fn': 1}","{'p': 0.5, 'r': 0.5, 'f1': 0.5}","{'tp': 1, 'fp': 1, 'fn': 1}","{'p': 0.33, 'r': 0.5, 'f1': 0.4}","{'tp': 1, 'fp': 2, 'fn': 1}","{'p': 0.5, 'r': 0.5, 'f1': 0.5}","{'tp': 1, 'fp': 1, 'fn': 1}","{'p': 0.0, 'r': 0.0, 'f1': 0}","{'tp': 0, 'fp': 1, 'fn': 2}"
