ICD Node URI,ICD Parent URI,Mesh ID,MeSH Tree Number,ICD Title,MeSH Common name,MeSH Disease Class,ICD Disease Class,MeSH Synonyms
http://id.who.int/icd/entity/1462175159,http://id.who.int/icd/entity/859265314,,,Superficial siderosis due to a cavernoma,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1468052935,http://id.who.int/icd/entity/859265314,,,Superficial siderosis due to other vascular anomalies,,,Diseases of the nervous system,
http://id.who.int/icd/entity/500652194,http://id.who.int/icd/entity/931843870,,,Superficial siderosis due to central nervous system tumours,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1193354879,http://id.who.int/icd/entity/931843870,,,Superficial siderosis due to nerve root avulsion,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1036767760,http://id.who.int/icd/entity/931843870,,,Superficial siderosis due to previous neurosurgery,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1379559591,http://id.who.int/icd/entity/931843870,,,Superficial siderosis due to head injury or trauma,,,Diseases of the nervous system,
http://id.who.int/icd/entity/130204465,http://id.who.int/icd/entity/931843870,,,Superficial siderosis due to cerebral amyloid angiopathy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/937542930,http://id.who.int/icd/entity/931843870,,,Superficial siderosis due to other causes,,,Diseases of the nervous system,
http://id.who.int/icd/entity/482387782,http://id.who.int/icd/entity/931843870,,,Superficial siderosis of unknown aetiology,,,Diseases of the nervous system,
http://id.who.int/icd/entity/292232825,http://id.who.int/icd/entity/988657115,,,Pain disorders,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1339785363,http://id.who.int/icd/entity/292232825,,,Neuropathic pain,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1994899048,http://id.who.int/icd/entity/1339785363,,,Phantom limb syndrome,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1205598239,http://id.who.int/icd/entity/1994899048,,,Phantom limb syndrome with pain,,,Diseases of the nervous system,
http://id.who.int/icd/entity/579876235,http://id.who.int/icd/entity/1994899048,,,Phantom limb syndrome without pain,,,Diseases of the nervous system,
http://id.who.int/icd/entity/922856471,http://id.who.int/icd/entity/292232825,,,Rectus abdominis syndrome,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1054910242,http://id.who.int/icd/entity/988657115,,,Post anoxic brain damage,,,Diseases of the nervous system,
http://id.who.int/icd/entity/158565980,http://id.who.int/icd/entity/1054910242,,,Complicating cardiac arrest,,,Diseases of the nervous system,
http://id.who.int/icd/entity/737170489,http://id.who.int/icd/entity/1054910242,,,"Complicating severe, prolonged hypotension",,,Diseases of the nervous system,
http://id.who.int/icd/entity/78102314,http://id.who.int/icd/entity/1054910242,,,Complicating asphyxia,,,Diseases of the nervous system,
http://id.who.int/icd/entity/742403339,http://id.who.int/icd/entity/1054910242,,,"Complicating event, not elsewhere classified",,,Diseases of the nervous system,
http://id.who.int/icd/entity/1735348363,http://id.who.int/icd/entity/1054910242,,,Complicating respiratory arrest,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1112036766,http://id.who.int/icd/entity/1228918777,,,Neurologically determined death,,,Diseases of the nervous system,
http://id.who.int/icd/entity/17562655,http://id.who.int/icd/entity/988657115,,,Locked-in syndrome,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1479285656,http://id.who.int/icd/entity/988657115,,,Neurosarcoidosis,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1320392906,http://id.who.int/icd/entity/1479285656,,,Polyneuropathy in sarcoidosis,,,Diseases of the nervous system,
http://id.who.int/icd/entity/388265288,http://id.who.int/icd/entity/988657115,,,Circumscribed brain atrophy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1894082655,http://id.who.int/icd/entity/388265288,,,Progressive isolated aphasia,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1375895174,http://id.who.int/icd/entity/988657115,,,"Encephalopathy, not elsewhere classified",,,Diseases of the nervous system,
http://id.who.int/icd/entity/1927024232,http://id.who.int/icd/entity/1375895174,,,Metabolic encephalopathy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/451256639,http://id.who.int/icd/entity/1927024232,,,Metabolic hepatic encephalopathy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/828714596,http://id.who.int/icd/entity/1375895174,,,"Cystic encephalopathy, not elsewhere classified",,,Diseases of the nervous system,
http://id.who.int/icd/entity/171561290,http://id.who.int/icd/entity/1375895174,,,"Vascular encephalopathy, not elsewhere classified",,,Diseases of the nervous system,
http://id.who.int/icd/entity/1453118191,http://id.who.int/icd/entity/1375895174,,,Neonatal encephalopathy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/777437455,http://id.who.int/icd/entity/1453118191,,,"Neonatal encephalopathy, mild",,,Diseases of the nervous system,
http://id.who.int/icd/entity/1572360859,http://id.who.int/icd/entity/1453118191,,,"Neonatal encephalopathy, moderate",,,Diseases of the nervous system,
http://id.who.int/icd/entity/955490063,http://id.who.int/icd/entity/1453118191,,,"Neonatal encephalopathy, severe",,,Diseases of the nervous system,
http://id.who.int/icd/entity/1993680150,http://id.who.int/icd/entity/988657115,,,"Encephalitis, not elsewhere classified",,,Diseases of the nervous system,
http://id.who.int/icd/entity/569175314,http://id.who.int/icd/entity/988657115,,,Postviral fatigue syndrome,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1058231555,http://id.who.int/icd/entity/988657115,,,Paraneoplastic or autoimmune disorders of the nervous system,,,Diseases of the nervous system,
http://id.who.int/icd/entity/496011112,http://id.who.int/icd/entity/1058231555,,,"Paraneoplastic or autoimmune disorders of the central nervous system, brain or spinal cord",,,Diseases of the nervous system,
http://id.who.int/icd/entity/704882202,http://id.who.int/icd/entity/496011112,,,Paraneoplastic encephalitis,,,Diseases of the nervous system,
http://id.who.int/icd/entity/62234255,http://id.who.int/icd/entity/704882202,,,"Paraneoplastic encephalitis, neural autoantibody positive",,,Diseases of the nervous system,
http://id.who.int/icd/entity/834423432,http://id.who.int/icd/entity/704882202,,,"Paraneoplastic encephalitis, neural autoantibody negative",,,Diseases of the nervous system,
http://id.who.int/icd/entity/241281019,http://id.who.int/icd/entity/496011112,,,Autoimmune encephalitis,,,Diseases of the nervous system,
http://id.who.int/icd/entity/972195461,http://id.who.int/icd/entity/241281019,,,"Autoimmune encephalitis, neural autoantibody positive",,,Diseases of the nervous system,
http://id.who.int/icd/entity/1986232955,http://id.who.int/icd/entity/241281019,,,"Autoimmune encephalitis, neural autoantibody negative",,,Diseases of the nervous system,
http://id.who.int/icd/entity/1385914006,http://id.who.int/icd/entity/496011112,,,Paraneoplastic encephalopathy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1445382314,http://id.who.int/icd/entity/496011112,,,Autoimmune encephalopathy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1147819644,http://id.who.int/icd/entity/496011112,,,Paraneoplastic limbic encephalitis,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1607842542,http://id.who.int/icd/entity/1147819644,,,"Paraneoplastic limbic encephalitis, neural autoantibody positive",,,Diseases of the nervous system,
http://id.who.int/icd/entity/1749457812,http://id.who.int/icd/entity/1147819644,,,"Paraneoplastic limbic encephalitis, neural autoantibody negative",,,Diseases of the nervous system,
http://id.who.int/icd/entity/1254443511,http://id.who.int/icd/entity/496011112,,,Autoimmune limbic encephalitis,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1704108774,http://id.who.int/icd/entity/1254443511,,,"Autoimmune limbic encephalitis, Neural autoantibody positive",,,Diseases of the nervous system,
http://id.who.int/icd/entity/1299525829,http://id.who.int/icd/entity/1254443511,,,"Autoimmune limbic encephalitis, Neural autoantibody negative",,,Diseases of the nervous system,
http://id.who.int/icd/entity/2061898171,http://id.who.int/icd/entity/496011112,,,Paraneoplastic brainstem encephalitis,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1483064286,http://id.who.int/icd/entity/2061898171,,,"Paraneoplastic brainstem encephalitis, neural autoantibody positive",,,Diseases of the nervous system,
http://id.who.int/icd/entity/1633287467,http://id.who.int/icd/entity/2061898171,,,"Paraneoplastic brainstem encephalitis, neural autoantibody negative",,,Diseases of the nervous system,
http://id.who.int/icd/entity/1138372432,http://id.who.int/icd/entity/496011112,,,Autoimmune brainstem encephalitis,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1950944818,http://id.who.int/icd/entity/1138372432,,,"Autoimmune brainstem encephalitis, neural autoantibody positive",,,Diseases of the nervous system,
http://id.who.int/icd/entity/1268048707,http://id.who.int/icd/entity/1138372432,,,"Autoimmune brainstem encephalitis, neural autoantibody negative",,,Diseases of the nervous system,
http://id.who.int/icd/entity/351394127,http://id.who.int/icd/entity/1087616692,,,"Paraneoplastic cerebellar degeneration, neural autoantibody positive",,,Diseases of the nervous system,
http://id.who.int/icd/entity/768468924,http://id.who.int/icd/entity/1087616692,,,"Paraneoplastic cerebellar degeneration, neural autoantibody negative",,,Diseases of the nervous system,
http://id.who.int/icd/entity/1649435857,http://id.who.int/icd/entity/496011112,,,Autoimmune cerebellar degeneration or cerebellitis,,,Diseases of the nervous system,
http://id.who.int/icd/entity/256783839,http://id.who.int/icd/entity/1649435857,,,"Autoimmune cerebellar degeneration or cerebellitis, neural autoantibody positive",,,Diseases of the nervous system,
http://id.who.int/icd/entity/954012833,http://id.who.int/icd/entity/1649435857,,,"Autoimmune cerebellar degeneration or cerebellitis, neural autoantibody negative",,,Diseases of the nervous system,
http://id.who.int/icd/entity/1438860719,http://id.who.int/icd/entity/496011112,,,Paraneoplastic encephalomyelitis,,,Diseases of the nervous system,
http://id.who.int/icd/entity/117504468,http://id.who.int/icd/entity/1438860719,,,"Paraneoplastic encephalomyelitis, neural autoantibody positive",,,Diseases of the nervous system,
http://id.who.int/icd/entity/1064136083,http://id.who.int/icd/entity/1438860719,,,"Paraneoplastic encephalomyelitis, neural autoantibody negative",,,Diseases of the nervous system,
http://id.who.int/icd/entity/1859516177,http://id.who.int/icd/entity/496011112,,,Paraneoplastic movement disorder,,,Diseases of the nervous system,
http://id.who.int/icd/entity/502185974,http://id.who.int/icd/entity/1859516177,,,"Paraneoplastic movement disorder, autoantibody positive",,,Diseases of the nervous system,
http://id.who.int/icd/entity/712875656,http://id.who.int/icd/entity/1859516177,,,"Paraneoplastic movement disorder, autoantibody negative",,,Diseases of the nervous system,
http://id.who.int/icd/entity/420288465,http://id.who.int/icd/entity/1859516177,,,Paraneoplastic chorea,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1838520850,http://id.who.int/icd/entity/1859516177,,,Paraneoplastic dyskinesia,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1557930774,http://id.who.int/icd/entity/496011112,,,Autoimmune movement disorder,,,Diseases of the nervous system,
http://id.who.int/icd/entity/63677983,http://id.who.int/icd/entity/1557930774,,,"Autoimmune movement disorder, autoantibody positive",,,Diseases of the nervous system,
http://id.who.int/icd/entity/834826778,http://id.who.int/icd/entity/1557930774,,,"Autoimmune movement disorder, autoantibody negative",,,Diseases of the nervous system,
http://id.who.int/icd/entity/272429739,http://id.who.int/icd/entity/1557930774,,,Autoimmune chorea,,,Diseases of the nervous system,
http://id.who.int/icd/entity/526418601,http://id.who.int/icd/entity/1557930774,,,Autoimmune dyskinesia,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1963108240,http://id.who.int/icd/entity/1557930774,,,Autoimmune dystonia,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1163544076,http://id.who.int/icd/entity/1557930774,,,Autoimmune myoclonus,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1216073790,http://id.who.int/icd/entity/496011112,,,Paraneoplastic retinopathy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/2011212045,http://id.who.int/icd/entity/1216073790,,,Melanoma associated retinopathy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1969888129,http://id.who.int/icd/entity/496011112,,,Autoimmune retinopathy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1123629823,http://id.who.int/icd/entity/496011112,,,Paraneoplastic myelopathy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/236953451,http://id.who.int/icd/entity/1123629823,,,"Paraneoplastic myelopathy, neural autoantibody positive",,,Diseases of the nervous system,
http://id.who.int/icd/entity/965525013,http://id.who.int/icd/entity/1123629823,,,"Paraneoplastic myelopathy, neural autoantibody negative",,,Diseases of the nervous system,
http://id.who.int/icd/entity/1618667674,http://id.who.int/icd/entity/496011112,,,Autoimmune myelopathy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/222408969,http://id.who.int/icd/entity/1618667674,,,"Autoimmune myelopathy, neural autoantibody positive",,,Diseases of the nervous system,
http://id.who.int/icd/entity/1061709070,http://id.who.int/icd/entity/1618667674,,,"Autoimmune myelopathy, neural autoantibody negative",,,Diseases of the nervous system,
http://id.who.int/icd/entity/771780430,http://id.who.int/icd/entity/496011112,,,Stiff person syndrome,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1106367973,http://id.who.int/icd/entity/771780430,,,Stiff person syndrome classic form,,,Diseases of the nervous system,
http://id.who.int/icd/entity/65973890,http://id.who.int/icd/entity/1106367973,,,"Stiff person syndrome classic form, glutamic acid decarboxylase-autoantibody positive",,,Diseases of the nervous system,
http://id.who.int/icd/entity/750339475,http://id.who.int/icd/entity/1106367973,,,"Stiff person syndrome classic form, other neural autoantibody negative",,,Diseases of the nervous system,
http://id.who.int/icd/entity/662101077,http://id.who.int/icd/entity/1106367973,,,"Stiff person syndrome classic form, other neural autoantibody positive",,,Diseases of the nervous system,
http://id.who.int/icd/entity/1291767616,http://id.who.int/icd/entity/1106367973,,,Paraneoplastic stiff person syndrome classic form,,,Diseases of the nervous system,
http://id.who.int/icd/entity/288209958,http://id.who.int/icd/entity/771780430,,,Stiff person syndrome variant form,,,Diseases of the nervous system,
http://id.who.int/icd/entity/2095899608,http://id.who.int/icd/entity/288209958,,,"Stiff person syndrome variant form, glutamic acid decarboxylase autoantibody positive",,,Diseases of the nervous system,
http://id.who.int/icd/entity/385768857,http://id.who.int/icd/entity/288209958,,,"Stiff person syndrome variant form, other neural antibody positive",,,Diseases of the nervous system,
http://id.who.int/icd/entity/560823527,http://id.who.int/icd/entity/288209958,,,"Stiff person syndrome variant form, neural antibody negative",,,Diseases of the nervous system,
http://id.who.int/icd/entity/233304469,http://id.who.int/icd/entity/288209958,,,Paraneoplastic stiff person syndrome variant form,,,Diseases of the nervous system,
http://id.who.int/icd/entity/290333867,http://id.who.int/icd/entity/496011112,,,Neuromyelitis optica spectrum disorder,,,Diseases of the nervous system,
http://id.who.int/icd/entity/31533652,http://id.who.int/icd/entity/496011112,,,Certain specified neurological disorder aquaporin-4 antibody positive,,,Diseases of the nervous system,
http://id.who.int/icd/entity/913443626,http://id.who.int/icd/entity/496011112,,,Chronic lymphocytic inflammation with pontine perivascular enhancement responsive to steroids,,,Diseases of the nervous system,
http://id.who.int/icd/entity/936930510,http://id.who.int/icd/entity/496011112,,,Opsoclonus-myoclonus,,,Diseases of the nervous system,
http://id.who.int/icd/entity/2088074552,http://id.who.int/icd/entity/936930510,,,Paraneoplastic opsoclonus myoclonus,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1316792639,http://id.who.int/icd/entity/936930510,,,Autoimmune opsoclonus myoclonus,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1906394190,http://id.who.int/icd/entity/936930510,,,Paraneoplastic myoclonus,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1177707828,http://id.who.int/icd/entity/936930510,,,Autoimmune generalised polymyoclonus,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1568915618,http://id.who.int/icd/entity/496011112,,,Anti-NMDA receptor encephalitis,,,Diseases of the nervous system,
http://id.who.int/icd/entity/385351156,http://id.who.int/icd/entity/496011112,,,Post infectious encephalitis,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1656347465,http://id.who.int/icd/entity/496011112,,,Paraneoplastic dystonia,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1029892421,http://id.who.int/icd/entity/1058231555,,,Paraneoplastic or autoimmune disorders of the peripheral or autonomic nervous system,,,Diseases of the nervous system,
http://id.who.int/icd/entity/46072886,http://id.who.int/icd/entity/1029892421,,,Paraneoplastic sensory ganglionopathy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/2073965575,http://id.who.int/icd/entity/46072886,,,"Paraneoplastic sensory ganglionopathy, neural autoantibody negative",,,Diseases of the nervous system,
http://id.who.int/icd/entity/167268801,http://id.who.int/icd/entity/1029892421,,,Autoimmune sensory ganglionopathy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1854850844,http://id.who.int/icd/entity/167268801,,,"Autoimmune sensory ganglionopathy, neural autoantibody negative",,,Diseases of the nervous system,
http://id.who.int/icd/entity/1275925881,http://id.who.int/icd/entity/167268801,,,"Autoimmune sensory ganglionopathy, neural autoantibody positive",,,Diseases of the nervous system,
http://id.who.int/icd/entity/368559203,http://id.who.int/icd/entity/1029892421,,,Autoimmune neuritis,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1144088177,http://id.who.int/icd/entity/368559203,,,Autoimmune brachial neuritis,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1377197606,http://id.who.int/icd/entity/368559203,,,Autoimmune radiculoplexoneuropathy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/2089097726,http://id.who.int/icd/entity/1377197606,,,Nondiabetic radiculoplexoneuropathy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1259747456,http://id.who.int/icd/entity/368559203,,,Chronic immune demyelinating polyradiculoneuropathy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1654652951,http://id.who.int/icd/entity/1259747456,,,Brachial variant of chronic immune demyelinating polyradiculoneuropathy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1353307154,http://id.who.int/icd/entity/368559203,,,Post surgical plexitis,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1869887843,http://id.who.int/icd/entity/1353307154,,,Post surgical brachial plexitis,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1491539997,http://id.who.int/icd/entity/1353307154,,,Post surgical lumbosacral plexitis,,,Diseases of the nervous system,
http://id.who.int/icd/entity/729514918,http://id.who.int/icd/entity/1029892421,,,Paraneoplastic sensorimotor neuropathy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1966156686,http://id.who.int/icd/entity/729514918,,,"Paraneoplastic sensorimotor neuropathy, neural autoantibody negative",,,Diseases of the nervous system,
http://id.who.int/icd/entity/1471347177,http://id.who.int/icd/entity/729514918,,,"Paraneoplastic sensorimotor neuropathy, neural autoantibody positive",,,Diseases of the nervous system,
http://id.who.int/icd/entity/1121924544,http://id.who.int/icd/entity/1029892421,,,Vasculitis or vasculitic neuropathy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1126845322,http://id.who.int/icd/entity/1121924544,,,Systemic multiple mononeuropathy vasculitis,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1898160015,http://id.who.int/icd/entity/1126845322,,,Multiple mononeuropathy vasculitis with mixed cryoglobulinemia,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1486202648,http://id.who.int/icd/entity/1126845322,,,Multiple mononeuropathy vasculitis with perinuclear antineutrophil cytoplasmic antibody-associated vasculitis,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1300583427,http://id.who.int/icd/entity/1126845322,,,Multiple mononeuropathy vasculitis with Churg-Strauss syndrome,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1862698598,http://id.who.int/icd/entity/1126845322,,,Multiple mononeuropathy vasculitis with Wegener granulomatosis,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1668516096,http://id.who.int/icd/entity/1121924544,,,Non-systemic multiple mononeuropathy vasculitis,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1559882266,http://id.who.int/icd/entity/1668516096,,,Nerve restricted multiple mononeuropathy vasculitis,,,Diseases of the nervous system,
http://id.who.int/icd/entity/485008092,http://id.who.int/icd/entity/1029892421,,,Autoimmune sensorimotor neuropathy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/2105534337,http://id.who.int/icd/entity/485008092,,,"Autoimmune sensorimotor neuropathy, neural autoantibody negative",,,Diseases of the nervous system,
http://id.who.int/icd/entity/1117915892,http://id.who.int/icd/entity/485008092,,,"Autoimmune sensorimotor neuropathy, neural autoantibody positive",,,Diseases of the nervous system,
http://id.who.int/icd/entity/343901465,http://id.who.int/icd/entity/1029892421,,,Autoimmune autonomic neuropathy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/40300536,http://id.who.int/icd/entity/343901465,,,Pandysautonomia,,,Diseases of the nervous system,
http://id.who.int/icd/entity/551894429,http://id.who.int/icd/entity/40300536,,,Pandysautonomia neural autoantibody positive,,,Diseases of the nervous system,
http://id.who.int/icd/entity/433652586,http://id.who.int/icd/entity/40300536,,,Pandysautonomia neural autoantibody negative,,,Diseases of the nervous system,
http://id.who.int/icd/entity/434289219,http://id.who.int/icd/entity/343901465,,,"Autoimmune autonomic neuropathy, ganglionic acetylcholine receptor antibody positive",,,Diseases of the nervous system,
http://id.who.int/icd/entity/2113070808,http://id.who.int/icd/entity/343901465,,,"Autoimmune autonomic neuropathy, other neural autoantibody positive",,,Diseases of the nervous system,
http://id.who.int/icd/entity/1115194830,http://id.who.int/icd/entity/343901465,,,"Autoimmune autonomic neuropathy, neural autoantibody negative",,,Diseases of the nervous system,
http://id.who.int/icd/entity/602711143,http://id.who.int/icd/entity/1029892421,,,Limited autoimmune autonomic neuropathy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/24081924,http://id.who.int/icd/entity/602711143,,,"Limited autoimmune autonomic neuropathy, ganglionic acetylcholine receptor antibody positive",,,Diseases of the nervous system,
http://id.who.int/icd/entity/775462163,http://id.who.int/icd/entity/602711143,,,"Limited autoimmune autonomic neuropathy, neural autoantibody positive",,,Diseases of the nervous system,
http://id.who.int/icd/entity/905301638,http://id.who.int/icd/entity/602711143,,,"Limited autoimmune autonomic neuropathy, neural autoantibody negative",,,Diseases of the nervous system,
http://id.who.int/icd/entity/995807501,http://id.who.int/icd/entity/602711143,,,Paraneoplastic autonomic intussusception,,,Diseases of the nervous system,
http://id.who.int/icd/entity/856956162,http://id.who.int/icd/entity/602711143,,,Autoimmune acquired autonomic encephalomyelitis,,,Diseases of the nervous system,
http://id.who.int/icd/entity/895392333,http://id.who.int/icd/entity/1029892421,,,Paraneoplastic sensory neuropathy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1737597349,http://id.who.int/icd/entity/895392333,,,"Paraneoplastic sensory neuropathy, neural autoantibody negative",,,Diseases of the nervous system,
http://id.who.int/icd/entity/1158837184,http://id.who.int/icd/entity/895392333,,,"Paraneoplastic sensory neuropathy, neural autoantibody positive",,,Diseases of the nervous system,
http://id.who.int/icd/entity/123162186,http://id.who.int/icd/entity/1029892421,,,Autoimmune sensory neuropathy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1140039752,http://id.who.int/icd/entity/123162186,,,"Autoimmune sensory neuropathy, neural autoantibody negative",,,Diseases of the nervous system,
http://id.who.int/icd/entity/1952481594,http://id.who.int/icd/entity/123162186,,,"Autoimmune sensory neuropathy, neural autoantibody positive",,,Diseases of the nervous system,
http://id.who.int/icd/entity/948609849,http://id.who.int/icd/entity/1029892421,,,Paraneoplastic motor neuropathy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1480520659,http://id.who.int/icd/entity/948609849,,,"Paraneoplastic motor neuropathy, neural autoantibody negative",,,Diseases of the nervous system,
http://id.who.int/icd/entity/253329991,http://id.who.int/icd/entity/1029892421,,,Autoimmune motor neuropathy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1132535619,http://id.who.int/icd/entity/253329991,,,"Autoimmune motor neuropathy, neural autoantibody negative",,,Diseases of the nervous system,
http://id.who.int/icd/entity/1781999572,http://id.who.int/icd/entity/253329991,,,"Autoimmune motor neuropathy, neural autoantibody positive",,,Diseases of the nervous system,
http://id.who.int/icd/entity/670961764,http://id.who.int/icd/entity/1029892421,,,Monoclonal gammopathy of undetermined significance-associated neuropathies,,,Diseases of the nervous system,
http://id.who.int/icd/entity/2043021129,http://id.who.int/icd/entity/670961764,,,Castleman disease with IgM-associated neuropathy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1361155436,http://id.who.int/icd/entity/670961764,,,Myelin-associated glycoprotein,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1722987542,http://id.who.int/icd/entity/670961764,,,Distal acquired demyelinating neuropathy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1452403800,http://id.who.int/icd/entity/670961764,,,"IgG, IgA or IgM-associated osteosclerotic myeloma with polyneuropathy organomegaly endocrinopathy M-spike and skin changes",,,Diseases of the nervous system,
http://id.who.int/icd/entity/711941019,http://id.who.int/icd/entity/1029892421,,,Paraneoplastic neuromyopathy and neuropathy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1777788580,http://id.who.int/icd/entity/1029892421,,,Paraneoplastic disorders of the spinal cord,,,Diseases of the nervous system,
http://id.who.int/icd/entity/670215092,http://id.who.int/icd/entity/1029892421,,,Paraneoplastic autonomic neuropathy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1053406793,http://id.who.int/icd/entity/1029892421,,,Paraneoplastic neuropathy of unspecified site,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1381491944,http://id.who.int/icd/entity/1058231555,,,Paraneoplastic or autoimmune neuromuscular transmission disorders,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1129607960,http://id.who.int/icd/entity/1058231555,,,Paraneoplastic or autoimmune disorders of the muscle,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1308322963,http://id.who.int/icd/entity/1129607960,,,Paraneoplastic necrotising myopathy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1655474050,http://id.who.int/icd/entity/1129607960,,,Autoimmune necrotising myopathy,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1599858362,http://id.who.int/icd/entity/1129607960,,,Paraneoplastic hyperexcitability syndrome with continuous muscle fibre activity,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1155795500,http://id.who.int/icd/entity/1129607960,,,Autoimmune hyperexcitability syndrome with continuous muscle fibre activity or Morvan syndrome,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1937189718,http://id.who.int/icd/entity/1129607960,,,Cancer sarcopenia or muscle wasting,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1877962228,http://id.who.int/icd/entity/988657115,,,"Brain cyst, not elsewhere classified",,,Diseases of the nervous system,
http://id.who.int/icd/entity/492643118,http://id.who.int/icd/entity/988657115,,,Cerebral meningeal cyst,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1396288233,http://id.who.int/icd/entity/988657115,,,"Brain damage, not elsewhere classified",,,Diseases of the nervous system,
http://id.who.int/icd/entity/204947892,http://id.who.int/icd/entity/988657115,,,"Disorder of brain, not elsewhere classified",,,Diseases of the nervous system,
http://id.who.int/icd/entity/151219786,http://id.who.int/icd/entity/988657115,,,"Disease of brain, not elsewhere classified",,,Diseases of the nervous system,
http://id.who.int/icd/entity/1503481707,http://id.who.int/icd/entity/988657115,,,White matter of brain syndrome,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1198549092,http://id.who.int/icd/entity/988657115,,,"Acquired brain deformity, not elsewhere classified",,,Diseases of the nervous system,
http://id.who.int/icd/entity/488744655,http://id.who.int/icd/entity/988657115,,,Airocoele,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1015880305,http://id.who.int/icd/entity/988657115,,,Astrocytic cell proliferation,,,Diseases of the nervous system,
http://id.who.int/icd/entity/1672131524,http://id.who.int/icd/entity/988657115,,,Brain cicatrix,,,Diseases of the nervous system,
