Mesh ID,Common name,Synonyms,Tree Number,Disease Class
D014474,Unconsciousness,"State, Unconscious| Loss of Consciousness| Unconscious States| Unconscious State| Consciousness, Loss of| Unconsciousness",C10.597.606.358.800,Neurologic Manifestations
D014607,Uveomeningoencephalitic Syndrome,"Vogt Koyanagi Harada Disease| Disease, Vogt-Koyanagi-Harada| Uveomeningoencephalitic Syndrome| Syndrome, VKH (Vogt Koyanagi Harada)| Syndrome, Vogt-Koyanagi-Harada| Syndrome, Vogt Koyanagi Harada| Uveomeningoencephalitides| Vogt-Koyanagi-Harada Disease| Vogt-Koyanagi-Harada Syndrome| Vogt Koyanagi Harada Syndrome| Syndrome, Uveomeningoencephalitic| Uveomeningoencephalitis| Syndrome, VKH| VKH Syndrome (Vogt Koyanagi Harada)| VKH Syndrome| VKH (Vogt Koyanagi Harada) Syndrome",C10.114.843,Autoimmune Diseases of the Nervous System
D014653,Vascular Headaches,"Vascular Headache| Vascular Headaches| Cephalgias, Vascular| Headaches, Vascular| Vascular Cephalgia| Vascular Cephalgias| Cephalgia, Vascular| Headache, Vascular",C10.228.140.300.800| C10.228.140.546.699.500,Central Nervous System Diseases
D014715,Vertebrobasilar Insufficiency,"Insufficiency, Vertebro-Basilar| Insufficiency, Vertebrobasilar| Vertebrobasilar Insufficiency| Vertebrobasilar Ischemias| Vertebro Basilar Insufficiency| Vertebro Basilar Ischemia| Ischemia, Vertebrobasilar| Vertebrobasilar Insufficiencies| Vertebro-Basilar Ischemias| Ischemias, Vertebro-Basilar| Insufficiencies, Vertebrobasilar| Vertebro-Basilar Ischemia| Vertebro-Basilar Insufficiency| Insufficiencies, Vertebro-Basilar| Vertebrobasilar Ischemia| Ischemia, Vertebro-Basilar| Vertebro-Basilar Insufficiencies| Ischemias, Vertebrobasilar",C10.228.140.300.150.956,Central Nervous System Diseases
D014717,Vertigo,"Vertigo| Subjective Vertigo| Sensation, Spinning| Sensations, Spinning| Vertigo, Subjective| Subjective Vertigos| Spinning Sensations| Spinning Sensation| Vertigos, Subjective| Vertigos",C10.597.951,Neurologic Manifestations
D014786,Vision Disorders,"Visual Disorder| Disorder, Visual| Disorders, Visual| Vision Disorders| Vision Disorder| Visual Disorders",C10.597.751.941,Neurologic Manifestations
D014826,Vocal Cord Paralysis,"Total Vocal Cord Paralysis| Vocal Fold Palsy| Palsy, Vocal Fold| Vocal Fold Palsies| Paralysis, Vocal Cord| Palsy, Vocal Cord| Vocal Cord Paralysis| Palsies, Vocal Cord| Vocal Cord Palsies| Palsies, Vocal Fold| Vocal Cord Palsy| Vocal Cord Paralyses| Paralyses, Vocal Cord",C10.597.622.943| C10.292.887.800,Neurologic Manifestations
D014832,Voice Disorders,Voice Disorder| Voice Disorders,C10.597.975,Neurologic Manifestations
D014854,Lateral Medullary Syndrome,"Vieseaux-Wallenberg Syndrome| Syndrome, Vieseaux-Wallenberg| Wallenberg Syndrome| Syndromes, Lateral Medullary| Lateral Medullary Syndromes| Wallenberg's Syndrome| Wallenbergs Syndrome| Vieseaux Wallenberg Syndrome| Posterior Inferior Cerebellar Artery Syndrome| Dorsolateral Medullary Syndrome| Syndrome, Wallenberg| Lateral Medullary Syndrome| Medullary Syndrome, Dorsolateral| Lateral Bulbar Syndrome",C10.228.140.300.150.477.100.500| C10.228.140.300.775.200.100.500,Central Nervous System Diseases
D014884,Waterhouse-Friderichsen Syndrome,Waterhouse-Friderichsen Syndrome| Waterhouse Friederichsen Syndrome| Waterhouse Friderichsen Syndrome| Purpura Fulminans (Waterhouse-Friderichsen Syndrome)| Waterhouse-Friederichsen Syndrome,C10.228.228.180.500.750.500,Central Nervous System Diseases
D014897,Spinal Muscular Atrophies of Childhood,Spinal Muscular Atrophies of Childhood,C10.668.467.500.750| C10.228.854.468.800| C10.574.562.500.750| C10.574.500.812,Neuromuscular Diseases
D014899,Wernicke Encephalopathy,"Wernicke Superior Hemorrhagic Polioencephalitis| Encephalopathy, Gayet-Wernicke| Wernicke Syndrome| Beriberi, Cerebral| Wernicke's Encephalopathy| Wernicke Encephalopathy| Wernicke Encephalopathies| Wernicke's Superior Hemorrhagic Polioencephalitis| Encephalopathy, Gayet Wernicke| Wernicke Polioencephalitis, Superior Hemorrhagic| Cerebral Beriberi| Encephalopathy, Wernicke| Encephalopathy, Wernicke's| Gayet Wernicke Encephalopathy| Wernicke's Polioencephalitis, Superior Hemorrhagic| Wernicke's Disease| Encephalopathy, Wernickes| Wernicke Disease| Encephalopathies, Wernicke| Gayet-Wernicke Encephalopathy| Wernicke's Syndrome",C10.228.140.163.960,Central Nervous System Diseases
D014901,West Nile Fever,"Infection, WNV| West Nile Fever| Infections, WNV| WNV Infections| West Nile Virus Infection| WNV Infection",C10.228.140.430.520.750.300.887| C10.228.228.399.750.300.887| C10.228.228.245.340.300.887,Central Nervous System Diseases
D014929,Wolfram Syndrome,"Diabetes Insipidus, Diabetes Mellitus, Optic Atrophy, and Deafness| Wolfram Syndrome| DIDMOADUD| Syndrome, Wolfram| Diabetes Insipidus and Mellitus with Optic Atrophy and Deafness| DIDMOAD| DIDMOAD Syndrome",C10.597.751.418.341.186.500.750| C10.597.751.941.162.625.750| C10.574.500.662.980| C10.292.700.225.500.980,Neurologic Manifestations
D015051,Zygomatic Fractures,"Zygomatic Fractures| Fracture, Zygomatic| Fractures, Zygomatic| Zygomatic Fracture",C10.900.300.284.500.950,"Trauma, Nervous System"
D015140,"Dementia, Vascular","Dementias, Vascular| Dementia, Vascular| Vascular Dementia| Vascular Dementias",C10.228.140.300.510.800.500| C10.228.140.380.230| C10.228.140.695.500| C10.228.140.300.400,Central Nervous System Diseases
D015161,"Dementia, Multi-Infarct","Multi-Infarct Dementia| Dementia Multi-Infarcts| Multi-Infarct, Dementia| Dementia Multi-Infarct| Multi-Infarcts, Dementia| Dementias, Multiinfarct| Dementia, Multi Infarct| Dementia, Multi-Infarct| Dementias, Multi-Infarct| Dementia Multi Infarct| Dementia, Multiinfarct| Multi-Infarct Dementias| Multiinfarct Dementia| Multiinfarct Dementias| Multi Infarct Dementia",C10.228.140.300.775.200.200.199| C10.228.140.300.150.477.200.199| C10.228.140.300.400.408| C10.228.140.380.230.250,Central Nervous System Diseases
D015173,Supratentorial Neoplasms,"Supratentorial Neoplasm| Neoplasms, Supratentorial| Supratentorial Neoplasms| Tumors, Supratentorial| Neoplasm, Supratentorial| Supratentorial Tumors| Supratentorial Tumor| Tumor, Supratentorial",C10.228.140.211.885| C10.551.240.250.700,Central Nervous System Diseases
D015174,Epidural Neoplasms,"Epidural Tumors| Epidural Neoplasm| Neoplasms, Epidural| Epidural Neoplasms| Epidural Tumor",C10.228.854.765.342| C10.551.240.750.200,Central Nervous System Diseases
D015175,Prolactinoma,"Adenomas, Lactotroph| Prolactinomas| Pituitary Adenoma, PRL-Secreting| Lactotroph Adenoma| Pituitary Adenoma, Prolactin-Producing| Prolactinoma, Familial| Prolactin Secreting Pituitary Adenoma| Prolactin Producing Pituitary Adenoma| PRL-Secreting Pituitary Adenomas| Adenoma, Lactotroph| Pituitary Adenomas, Prolactin-Producing| Prolactin-Secreting Pituitary Adenomas| Pituitary Adenomas, Prolactin-Secreting| PRL Secreting Pituitary Adenoma| Lactotroph Adenomas| Pituitary Adenoma, Prolactin-Secreting| Prolactinoma| Pituitary Adenomas, PRL-Secreting| PRL-Secreting Pituitary Adenoma| Prolactin-Producing Pituitary Adenoma| Adenoma, Prolactin-Secreting, Pituitary| Prolactin-Secreting Pituitary Adenoma| Pituitary Adenoma, Prolactin Secreting| Prolactin-Producing Pituitary Adenomas",C10.228.140.617.738.675.800,Central Nervous System Diseases
D015192,Infratentorial Neoplasms,"Posterior Fossa Neoplasm| Infratentorial Neoplasm| Posterior Fossa Neoplasms| Neoplasms, Infratentorial| Neoplasms, Posterior Fossa| Tumor, Posterior Fossa| Tumor, Infratentorial| Infratentorial Tumors| Neoplasm, Posterior Fossa| Infratentorial Neoplasms| Neoplasm, Infratentorial| Infratentorial Tumor| Posterior Fossa Tumor| Posterior Fossa Tumors",C10.551.240.250.400| C10.228.140.211.500,Nervous System Neoplasms
D015211,Zellweger Syndrome,Cerebrohepatorenal Syndrome| Cerebro-Hepato-Renal Syndrome| Cerebro Hepato Renal Syndrome| Zellweger Disease| Zellweger's Syndrome| Zellweger Syndrome,C10.228.140.163.100.968,Central Nervous System Diseases
D015324,Pyruvate Carboxylase Deficiency Disease,"Type II Ataxia with Lactic Acidosis| Deficiency, Pyruvate Carboxylase| Lactic Acidosis with Ataxia, Type II| Ataxia with Lactic Acidosis 2| Pyruvate Carboxylase Deficiency| Ataxia with Lactic Acidosis, Type II| Pyruvate Carboxylase Deficiency Disease| Deficiency Disease, Pyruvate Carboxylase| Ataxia with Lactic Acidosis II",C10.228.140.163.100.725,Central Nervous System Diseases
D015325,Pyruvate Dehydrogenase Complex Deficiency Disease,"Pyruvate Dehydrogenase Complex Deficiency Disease| Deficiency, Pyruvate Decarboxylase| Deficiency, Pyruvate Dehydrogenase| PDHC Deficiency Disease| Pyruvate Dehydrogenase Complex Deficiency| Pyruvate Dehydrogenase Deficiency| Deficiency, PDHC| Pyruvate Decarboxylase Deficiency| Ataxia, Intermittent, with Abnormal Pyruvate Metabolism| PDH Deficiency| Deficiency, PDH| PDHC Deficiency| Intermittent Ataxia with Pyruvate Dehydrogenase Deficiency| Ataxia, Intermittent, with Pyruvate Dehydrogenase, or Decarboxylase, Deficiency",C10.597.606.360.455.875| C10.228.140.163.100.750,Neurologic Manifestations
D015354,"Vision, Low","Subnormal Vision| Vision, Reduced| Vision, Subnormal| Vision, Diminished| Vision, Low| Diminished Vision| Low Vision| Reduced Vision",C10.597.751.941.905,Neurologic Manifestations
D015417,Hereditary Sensory and Motor Neuropathy,"HMSN| Hereditary Motor and Sensory Neuropathies| Herditary Sensory and Motor Neuropathy| Hereditary Sensory and Motor Neuropathy| Hereditary Motor and Sensory Neuropathy| Neuropathies, Hereditary Motor and Sensory",C10.500.300| C10.668.829.800.300| C10.574.500.495,Nervous System Malformations
D015418,"Optic Atrophies, Hereditary","Hereditary Optic Atrophies| Atrophies, Hereditary Optic| Atrophy, Hereditary Optic| Optic Atrophy, Hereditary| Hereditary Optic Atrophy| Optic Atrophies, Hereditary",C10.292.700.225.500| C10.574.500.662,Cranial Nerve Diseases
D015419,"Spastic Paraplegia, Hereditary","Spastic Paraplegia, Hereditary| Spastic Paraplegias, Hereditary| Hereditary Spastic Paraplegia| Paraplegias, Hereditary Spastic| Hypertrophic Motor-Sensory Neuropathy-Spastic Paraplegia| Paraplegia, Spastic, Hereditary| Hereditary Spastic Paraplegias| Spastic Paraplegia-Hypertrophic Motor-Sensory Neuropathy| Spastic Paraplegia Hypertrophic Motor Sensory Neuropathy| Paraplegia, Hereditary Spastic| Hypertrophic Motor Sensory Neuropathy Spastic Paraplegia",C10.574.500.495.820| C10.668.829.800.300.820| C10.500.300.820,Neurodegenerative Diseases
D015493,"Paraparesis, Tropical Spastic","Familial Spastic Paraparesis, Htlv-1-Associated| Myelopathy, Human T-Lymphotropic Virus Type 1 Associated| Myelopathies, Htlv-1-Associated| Parapareses, Tropical Spastic| Paraparesis, Tropical Spastic| Myelopathy, Htlv-1-Associated| HTLV I Associated Myelopathy| Tropical Spastic Paraparesis| Tropical Spastic Paraplegia| Spastic Paraparesis, Tropical| Human T Lymphotropic Virus Type 1 Associated Myelopathy| Myelopathy, Htlv 1 Associated| Myelopathies, HTLV I Associated| Myelopathy, Human T Lymphotropic Virus Type 1 Associated| Htlv-1-Associated Myelopathy| Spastic Parapareses, Tropical| Tropical Spastic Paraplegias| HTLV-I-Associated Myelopathy| HTLV-I-Associated Myelopathy-Tropical Spastic Paraparesis| Familial Spastic Paraparesis, Htlv 1 Associated| Myelopathy, HTLV-I-Associated| HTLV I Associated Myelopathies| Paraplegia, Tropical Spastic| Myelopathies, HTLV-I-Associated| HTLV-I-Associated Myelopathies| Human T-Lymphotropic Virus Type 1 Associated Myelopathy| Paraplegias, Tropical Spastic| Spastic Paraplegias, Tropical| Tropical Spastic Parapareses| Spastic Paraplegia, Tropical| Htlv-1-Associated Myelopathies| HTLV I Associated Myelopathy Tropical Spastic Paraparesis",C10.228.854.525.700| C10.228.228.618.500,Central Nervous System Diseases
D015518,Rett Syndrome,"Autism, Dementia, Ataxia, and Loss of Purposeful Hand Use| Syndrome, Rett| Rett Syndrome| Rett's Disorder| Retts Syndrome| Cerebroatrophic Hyperammonemias| Autism-Dementia-Ataxia-Loss of Purposeful Hand Use Syndrome| Cerebroatrophic Hyperammonemia| Autism Dementia Ataxia Loss of Purposeful Hand Use Syndrome| Syndrome, Rett's| Hyperammonemia, Cerebroatrophic| Rett's Syndrome| Rett Disorder| Hyperammonemias, Cerebroatrophic",C10.597.606.360.455.937,Neurologic Manifestations
D015526,AIDS Dementia Complex,"AIDS-Related Dementia Complex| Dementia Complex, Acquired Immune Deficiency Syndrome| AIDS Related Dementia Complex| Acquired-Immune Deficiency Syndrome Dementia Complex| Dementia, HIV| Dementia Complex, AIDS| Dementia Complex, AIDS-Related| HIV Dementia| Complex, AIDS-Related Dementia| Dementia Complex, AIDS Related| Dementias, HIV| Complex, AIDS Dementia| HIV Dementias| HIV Associated Cognitive Motor Complex| HIV-Associated Cognitive Motor Complex| AIDS Dementia Complex",C10.228.140.380.070,Central Nervous System Diseases
D015594,Optic Disk Drusen,"Optic Disk Drusens| Drusen, Optic Disk| Optic Disk Drusen| Optic Disc Drusen| Drusen, Optic Disc| Optic Nerve Drusen| Drusen, Optic Nerve| Optic Disc Drusens",C10.292.700.450,Cranial Nerve Diseases
D015673,"Fatigue Syndrome, Chronic","Chronic Fatigue-Fibromyalgia Syndrome| Postviral Fatigue Syndromes| Chronic Fatigue Fibromyalgia Syndrome| Fatigue-Fibromyalgia Syndromes, Chronic| Fatigue Disorder, Chronic| Syndromes, Postviral Fatigue| Fatigue Syndromes, Chronic| Fatigue Disorders, Chronic| Chronic Fatigue and Immune Dysfunction Syndrome| Chronic Fatigue Syndromes| Chronic Fatigue Disorders| Encephalomyelitis, Myalgic| Chronic Fatigue-Fibromyalgia Syndromes| Syndrome, Postviral Fatigue| Infectious Mononucleosis-Like Syndrome, Chronic| Infectious Mononucleosis Like Syndrome, Chronic| Fatigue Syndrome, Postviral| Fatigue Syndrome, Chronic| Myalgic Encephalomyelitis| Chronic Fatigue Disorder| Fatigue Syndromes, Postviral| Fatigue-Fibromyalgia Syndrome, Chronic| Chronic Fatigue Syndrome| Systemic Exertion Intolerance Disease| Postviral Fatigue Syndrome| Royal Free Disease",C10.668.364,Neuromuscular Diseases
D015807,"Eye Injuries, Penetrating","Eye Injury, Penetrating| Injuries, Penetrating Eye| Penetrating Eye Injuries| Eye Injuries, Penetrating| Injury, Penetrating Eye| Penetrating Eye Injury",C10.900.300.284.250.270,"Trauma, Nervous System"
D015835,Ocular Motility Disorders,Eye Motility Disorders| Eye Motility Disorder| Eye Movement Disorder| Ocular Motility Disorders| Ocular Motility Disorder| Eye Movement Disorders,C10.228.758| C10.292.562,Central Nervous System Diseases
D015840,Oculomotor Nerve Diseases,"Third Nerve Palsy| Nerve Disease, Oculomotor| Oculomotor Nerve Disease| Oculomotor Nerve Disorders| Third-Nerve Paralysis| Oculomotor Nerve Diseases| Paralysis, Oculomotor Nerve| Palsy, Oculomotor Nerve| Third Cranial Nerve Diseases| Neuropathy, Oculomotor| Oculomotor Neuropathy| Cranial Nerve III Diseases| Third-Nerve Palsy| Third Nerve Paralysis| Palsy, Third-Nerve| Paralysis, Third-Nerve| Nerve Disorder, Oculomotor| Oculomotor Neuropathies| Third-Nerve Palsies| Oculomotor Nerve Disorder| Oculomotor Nerve Palsies| Nerve Palsy, Oculomotor| Oculomotor Nerve Paralysis| Third-Nerve Paralyses| Oculomotor Nerve Paralyses| Oculomotor Nerve Palsy| Nerve Paralysis, Oculomotor",C10.292.562.700,Cranial Nerve Diseases
D015845,Tonic Pupil,"Pupillotonias| Pupil, Tonic| Pupils, Adie's| Myotonic Pupils| Pupils, Myotonic| Tonic Pupil| Myotonic Pupil| Pupil, Adie| Tonic Pupils| Pupils, Tonic| Adie's Pupil| Adie Pupil| Adies Pupil| Pupil, Adie's| Pupil, Myotonic| Pupillotonia",C10.597.690.575,Neurologic Manifestations
D015875,Anisocoria,"Pupillary Size Inequality| Anisocoria| Inequality, Pupillary Size| Pupil Diameter Unequal",C10.597.690.150,Neurologic Manifestations
D015877,Miosis,"Miosis, Persistent| Pupil, Small| Pupils, Small| Constricted Pupils| Pupil, Constricted| Pupillary Miosis| Persistent Miosis| Pupillary Mioses| Miosis, Pupillary| Small Pupil| Pupils, Constricted| Constricted Pupil| Persistent Mioses| Mioses, Pupillary| Miosis| Mioses| Mioses, Persistent| Small Pupils",C10.597.690.362,Neurologic Manifestations
D016080,Arachnoid Cysts,"Arachnoid Cysts| Arachnoid Diverticulas| Cysts, Arachnoid| Leptomeningeal Cyst| Cyst, Leptomeningeal| Arachnoid Diverticula| Diverticula, Arachnoid| Diverticulas, Arachnoid| Cysts, Leptomeningeal| Cyst, Arachnoid| Leptomeningeal Cysts",C10.551.240.375.100| C10.500.142.100,Nervous System Neoplasms
D016098,Gerstmann-Straussler-Scheinker Disease,"Gerstmann-Straussler Diseases| Diseases, Gerstmann-Straussler| Gerstmann-Straussler-Scheinker Disease| Gerstmann Straussler Syndrome| Inherited Spongiform Encephalopathy, Gerstmann-Straussler| Gerstmann Straussler Scheinker Disease| Gerstmann-Straussler-Scheinker Syndrome| Inherited Spongiform Encephalopathy, Gerstmann Straussler| Gerstmann Straussler Scheinker Syndrome| Gerstmann-Straussler Syndrome| Gerstmann-Straussler Inherited Spongiform Encephalopathy| Encephalopathy, Subacute Spongiform, Gerstmann-Straussler Type| Gerstmann Straussler Inherited Spongiform Encephalopathy| Gerstmann Straussler Disease| Gerstmann-Straussler Disease| Disease, Gerstmann-Straussler",C10.574.500.425| C10.228.228.800.350| C10.574.843.400,Neurodegenerative Diseases
D016135,Spinal Dysraphism,"Dysraphism, Spinal| Spinal Dysraphias| Cleft Spines| Spina Bifidas| Spine, Cleft| Spina Bifida| Spinal Dysraphia| Bifida, Spina| Open Spine| Spinal Dysraphisms| Spinal Dysraphism| Schistorrhachis| Dysraphisms, Spinal| Cleft Spine| Dysraphia, Spinal| Spine, Open| Open Spines",C10.500.680.800,Nervous System Malformations
D016136,Spina Bifida Occulta,"Spinal Bifida, Closed| Closed Spinal Bifida| Occult Spina Bifida| Spina Bifida, Occult| Spina Bifida Occulta",C10.500.680.800.750,Nervous System Malformations
D016137,Spina Bifida Cystica,Spina Bifida Manifesta| Spina Bifida Aperta| Spina Bifida Cystica,C10.500.680.800.730,Nervous System Malformations
D016142,Holoprosencephaly,Holoprosencephaly| Holoprosencephalies,C10.500.034.875,Nervous System Malformations
D016262,Postpoliomyelitis Syndrome,"Muscular Atrophy, Post-Poliomyelitis| Muscular Atrophies, Post-Poliomyelitis| Post Poliomyelitis Syndrome| Muscular Atrophies, Postpoliomyelitis| Post-Polio Syndrome| Postpoliomyelitis Syndrome| Post Poliomyelitis Muscular Atrophy| Post-Poliomyelitis Syndrome| Post-Poliomyelitis Muscular Atrophy| Post-Poliomyelitis Muscular Atrophies| Post-Polio Syndromes| Postpoliomyelitis Muscular Atrophies| Postpoliomyelitis Muscular Atrophy| Muscular Atrophy, Postpoliomyelitis",C10.228.854.525.850.750| C10.574.827| C10.228.228.618.750.750| C10.668.864.500| C10.668.491.175.750,Central Nervous System Diseases
D016472,Motor Neuron Disease,"Motor Neuron Disease| Motor System Disease| Motor System Diseases| Neuron Disease, Motor| Motor Neuron Diseases| Neuron Diseases, Motor",C10.668.467| C10.574.562,Neuromuscular Diseases
D016489,"Head Injuries, Closed","Closed Head Traumas| Nonpenetrating Head Injury| Head Injury, Closed| Head Injuries, Closed| Closed Head Trauma| Closed Head Injuries| Head Injuries, Nonpenetrating| Closed Head Injury| Head Trauma, Closed| Injuries, Closed Head| Head Traumas, Closed| Nonpenetrating Head Injuries| Head Injury, Nonpenetrating",C10.900.300.350,"Trauma, Nervous System"
D016518,Neurofibromatosis 2,"Neurofibromatosis, Acoustic, Bilateral| Neurofibromatosis II| Neurofibromatoses, Type 2| Neurofibromatosis IIs| Neurofibromatosis, Central| Neurofibromatosis, Central, NF 2| Neurofibromatosis 2| Type 2 Neurofibromatosis| Central Neurofibromatosis| Neurofibromatosis Type 2| NF2 (Neurofibromatosis 2)| Neurofibromatosis, Central NF2| Central NF2 Neurofibromatosis| Type II Neurofibromatoses| Acoustic Neurofibromatoses, Bilateral| Neurofibromatosis, Bilateral Acoustic| Neurofibromatoses, Central| Neurofibromatosis Type II| Type 2 Neurofibromatoses| Type II Neurofibromatosis| Bilateral Acoustic Neurofibromatosis| Neurofibromatoses, Central NF2| Neurofibromatoses, Bilateral Acoustic| NF2s (Neurofibromatosis 2)| Neurofibromatosis, Type II| Central Neurofibromatoses| Neurofibromatosis, central type| Neurofibromatosis, Central, NF2| Central NF2 Neurofibromatoses| Neurofibromatosis, Type 2| Neurofibromatoses, Type II| Acoustic Neurofibromatosis, Bilateral| Bilateral Acoustic Neurofibromatoses",C10.292.910.600.500| C10.292.225.750.500| C10.562.600.750| C10.574.500.549.700,Cranial Nerve Diseases
D016532,Mucopolysaccharidosis II,"Mucopolysaccharidosis II| Mucopolysaccharidosis Type 2| Syndrome, Hunter| Mucopolysaccharidosis Type II| Hunter Syndrome Gargoylism| Gargoylism, Hunter Syndrome| Hunter's Syndrome| Hunters Syndrome| Mucopolysaccharidosis 2| Hunter Syndrome| Syndrome, Hunter's",C10.597.606.360.455.750,Neurologic Manifestations
D016537,"Gangliosidosis, GM1","GM1 Gangliosidosis| Beta Galactosidase 1 Deficiency Disease| Gangliosidosis, GM1| Beta-Galactosidosis| G(M1) Gangliosidosis| Gangliosidosis G(M1)| Beta-Galactosidase-1 Deficiency Disease| Beta Galactosidosis| Gangliosidosis GM1",C10.228.140.163.100.435.825.300.400,Central Nervous System Diseases
D016543,Central Nervous System Neoplasms,"Central Nervous System Neoplasms| Central Nervous System Neoplasm| Neoplasms, Central Nervous System| Neoplasms, CNS| CNS Neoplasms| Central Nervous System Tumor| Neoplasm, CNS| Central Nervous System Tumors| Tumors, Central Nervous System| CNS Neoplasm",C10.551.240,Nervous System Neoplasms
D016545,Choroid Plexus Neoplasms,"Choroid Plexus Tumor| Choroid Plexus Neoplasms| Choroid Plexus Tumors| Neoplasm, Choroid Plexus| Neoplasms, Choroid Plexus| Choroid Plexus Neoplasm",C10.551.240.250.200.200| C10.228.140.211.280.300,Nervous System Neoplasms
D016603,Eosinophilia-Myalgia Syndrome,"Eosinophilia Myalgia Syndrome| Eosinophilia-Myalgia Syndromes| Syndromes, Eosinophilia-Myalgia| Eosinophilia-Myalgia Syndrome| Syndrome, Eosinophilia-Myalgia",C10.668.491.050,Neuromuscular Diseases
D016643,"Encephalopathy, Bovine Spongiform","Encephalitis, Bovine Spongiform| Bovine Spongiform Encephalitis| BSEs (Bovine Spongiform Encephalopathy)| Mad Cow Diseases| BSE (Bovine Spongiform Encephalopathy)| Encephalopathy, Bovine Spongiform| Spongiform Encephalopathy, Bovine| Mad Cow Disease| Bovine Spongiform Encephalopathy",C10.228.228.800.260| C10.574.843.300,Central Nervous System Diseases
D016657,Cerebral Amyloid Angiopathy,"Cerebral Amyloid Angiopathy| Angiopathy, Congophilic| Cerebral Amyloid Angiopathies| Amyloid Angiopathy, Cerebral| Congophilic Angiopathies| Angiopathy, Cerebral Amyloid| Congophilic Angiopathy",C10.228.140.300.510.200.200,Central Nervous System Diseases
D016697,Herpes Zoster Oticus,"Herpes Zoster, Geniculate| Neuralgia, Geniculate| Geniculate Ganglionitis, Herpetic| Syndrome, Ramsay Hunt| Auricular Syndrome of Ramsay Hunt| Geniculate Herpes Zoster| Geniculate Ganglionitides, Herpetic| Neuralgias, Geniculate| Herpetic Geniculate Ganglionitis| Ganglionitis, Herpetic Geniculate| Herpes Zoster Auricularis| Herpetic Geniculate Ganglionitides| Ramsay Hunt Auricular Syndrome| Ramsay Hunt Syndrome| Herpes Zoster Oticus| Herpes Zoster Cephalicus| Geniculate Neuralgias| Geniculate Neuralgia",C10.292.319.750,Cranial Nerve Diseases
D016750,Stiff-Person Syndrome,"Moersch-Woltmann Syndrome| Stiff-Baby Syndromes| Stiff-Trunk Syndrome| Congenital Stiff-Man Syndrome| Syndromes, Congenital Stiff-Man| Syndrome, Congenital Stiff-Man| Stiff-Man Syndrome, Congenital| Syndrome, Stiff-Trunk| Syndromes, Stiff-Trunk| Stiff-Man Syndrome| Stiff-Person Syndrome, Congenital| Congenital Stiff-Person Syndrome| Syndrome, Moersch-Woltmann| Syndrome, Stiff-Man| Syndrome, Congenital Stiff-Person| Congenital Stiff Man Syndrome| Stiffman Syndrome| Stiff-Person Syndrome| Stiff Man Syndrome| Syndrome, Startle| Stiff-Man Syndromes, Congenital| Stiff-Person Syndromes, Congenital| Syndrome, Stiff-Baby| Congenital Stiff-Man Syndromes| Syndromes, Congenital Stiff-Person| Syndrome, Stiffman| Moersch Woltmann Syndrome| Congenital Stiff-Person Syndromes| Syndromes, Startle| Syndrome, Stiff-Person| Stiff Trunk Syndrome| Stiff-Trunk Syndromes| Stiff Person Syndrome| Startle Syndrome| Stiff-Baby Syndrome| Syndromes, Stiff-Baby| Startle Syndromes",C10.114.812| C10.228.854.790| C10.668.900,Autoimmune Diseases of the Nervous System
D016779,"Malaria, Cerebral","Cerebral Malaria| Malaria, Cerebral",C10.228.228.205.300.500,Central Nervous System Diseases
D016781,"Toxoplasmosis, Cerebral","Cerebral Toxoplasmosis| Toxoplasmosis, Cerebral| Toxoplasmoses, Cerebral",C10.228.228.090.800| C10.228.228.205.300.800| C10.228.140.116.800,Central Nervous System Diseases
D016862,"Tuberculoma, Intracranial","Intracranial Tuberculoma| Tuberculoma, Intracranial",C10.228.228.180.850.400,Central Nervous System Diseases
D016878,POEMS Syndrome,"Organomegaly, Polyneuropathy| Syndrome, Crow-Fukase| Syndrome, Takatsuki's| Polyneuropathy, Organomegaly, Endocrinopathy, M Protein, and Skin Changes Syndrome| Polyneuropathy Organomegaly| Polyneuropathy Organomegalies| Takatsuki's Syndrome| Crow Fukase Syndrome| POEMS Syndrome| Organomegalies, Polyneuropathy| Takatsuki Syndrome| Syndrome, POEMS| Crow-Fukase Syndrome",C10.668.829.800.700,Neuromuscular Diseases
D016893,Carotid Stenosis,"Carotid Artery Narrowing| Stenosis, Carotid Artery| Artery Stenosis, Carotid| Carotid Artery Stenoses| Stenoses, Carotid Artery| Artery Stenoses, Carotid| Stenoses, Carotid| Stenosis, Carotid| Artery Narrowing, Carotid| Narrowing, Carotid Artery| Narrowings, Carotid Artery| Carotid Artery Stenosis| Carotid Stenoses| Carotid Stenosis| Artery Narrowings, Carotid| Carotid Artery Narrowings",C10.228.140.300.200.360,Central Nervous System Diseases
D016919,"Meningitis, Cryptococcal","Cryptococcal Meningitis| Cryptococcal Meningitides| Meningitis, Cryptococcal| Meningitides, Cryptococcal",C10.228.228.198.500.500,Central Nervous System Diseases
D016920,"Meningitis, Bacterial","Meningitides, Bacterial| Bacterial Meningitides| Meningitis, Bacterial| Bacterial Meningitis",C10.228.228.180.500,Central Nervous System Diseases
D016921,"Meningitis, Fungal","Meningitis, Fungal| Fungal Meningitis| Meningitides, Fungal| Fungal Meningitides",C10.228.228.198.500,Central Nervous System Diseases
